Country,Year,Total Energy Consumption (TWh),Per Capita Energy Use (kWh),Renewable Energy Share (%),Fossil Fuel Dependency (%),Carbon Emissions (Million Tons)
USA,2001,1057.23,44922.42,62.61527377521613,37.38472622478386,3817.94
UK,2023,2341.96,11266.51,26.56,27.17,3950.27
India,2011,8987.28,32015.31,12.03,14.12,418.46
China,2006,9798.95,44097.87,57.77793286342382,42.22206713657617,3088.01
China,2019,6511.83,2228.22,26.99,69.41,4838.48
USA,2008,9176.55,41525.19,63.06931634496529,36.93068365503471,3937.02
Russia,2008,6463.14,20824.67,10.16,48.42,86.25
India,2007,428.65,33069.74,68.85132463424279,31.148675365757217,1163.46
India,2013,9967.95,18934.03,15.8,41.52,2252.79
Australia,2000,1079.63,34928.05,64.12,24.62,3546.03
Russia,2022,6858.15,13087.6,44.29654442877292,55.70345557122708,2798.47
Japan,2020,2603.08,1585.56,65.9931113662457,34.00688863375431,432.77
Japan,2022,3980.61,47415.48,8.14,48.3,3704.43
Germany,2011,6494.75,1310.2,29.82,12.6,4201.63
Brazil,2024,4421.22,41292.91,10.91,53.57,1068.5
China,2001,2580.41,8872.31,76.72247882986913,23.27752117013087,383.75
Japan,2012,3411.02,19914.9,55.48,36.84,3965.24
Russia,2003,3481.33,41213.37,50.47,38.89,3220.21
India,2019,9597.31,10693.64,16.17,41.41,4027.34
Japan,2017,8006.27,43352.53,46.57,25.92,2854.65
India,2018,4639.63,25139.07,35.87638376383764,64.12361623616236,2171.26
Japan,2015,2078.23,18624.6,31.84,39.95,4817.23
China,2013,8129.06,33290.67,57.20301238966717,42.79698761033282,3910.8
UK,2007,1656.11,17398.79,10.21,52.98,2088.99
Japan,2011,2183.58,17690.77,53.32562688956073,46.67437311043926,4542.21
Russia,2008,3723.53,36809.56,60.39484286865432,39.605157131345685,4967.82
Japan,2005,8815.45,15836.7,54.85637942551771,45.1436205744823,1575.77
Brazil,2017,1404.69,10438.25,50.56179775280899,49.43820224719101,4467.76
China,2001,1310.12,40478.48,29.01,39.2,274.72
Russia,2022,4990.35,40365.87,50.69199457259159,49.30800542740841,1111.03
Australia,2007,2836.46,25130.49,17.02,17.2,846.52
Russia,2023,5730.41,26569.45,14.95,16.35,1815.14
Brazil,2013,4571.2,34955.79,57.62613006707495,42.373869932925054,2834.98
UK,2005,4406.1,25709.08,51.439973395410696,48.56002660458929,3613.9
China,2009,1208.53,21143.48,10.72,55.5,4518.88
Australia,2007,1496.39,49747.26,14.01,56.85,834.81
Brazil,2016,8228.68,7808.2,53.08,21.04,2912.5
Brazil,2024,8870.24,29840.03,23.55,41.73,2795.73
USA,2011,2423.37,44350.22,57.0,38.06,2319.45
China,2016,1223.26,34517.14,23.24,64.81,3488.18
Russia,2012,628.83,44105.7,14.9,19.65,2591.14
India,2018,6122.15,17148.57,51.37,47.74,2773.45
UK,2011,7182.0,13963.65,51.47948448185166,48.52051551814834,4521.49
India,2015,3790.82,42637.98,46.59936629577776,53.40063370422223,4308.35
Russia,2024,6828.79,20008.67,51.70883882149047,48.291161178509526,2907.8
Russia,2004,7158.29,35629.27,27.64,36.25,823.24
China,2024,9359.89,7813.55,51.41814456751392,48.58185543248607,4795.57
Russia,2015,742.25,37913.99,35.82479210984335,64.17520789015666,3132.36
USA,2024,2003.69,27674.64,52.679542981501626,47.32045701849837,4047.0
Australia,2005,778.41,13796.28,37.44493392070484,62.55506607929515,322.36
Russia,2010,8693.14,24977.95,26.867260061919502,73.1327399380805,4489.29
India,2016,7946.61,34998.71,27.12,26.8,3482.8
Russia,2022,5788.96,1088.38,53.25,18.94,3442.85
USA,2013,928.27,32054.62,11.72,58.36,595.06
Japan,2005,2805.79,27308.74,62.972952723458455,37.027047276541545,3578.67
Japan,2024,3047.43,11404.17,28.07,32.92,429.35
Brazil,2022,5651.36,37772.56,33.53,57.91,326.34
UK,2010,2654.63,15521.32,24.83,14.34,1660.47
Germany,2011,822.3,14204.62,5.26,13.3,164.69
Australia,2012,7334.55,23825.31,63.87,34.8,840.14
Canada,2003,3060.89,33969.41,55.2,23.57,3644.33
Brazil,2006,4578.5,46477.88,55.04026245153592,44.959737548464055,4182.88
UK,2001,1363.9,7497.18,8.49,76.36,938.63
Japan,2005,8045.23,20125.17,59.850267379679146,40.14973262032085,4125.32
India,2005,5698.77,3815.98,33.13,55.83,2428.62
Canada,2017,9025.7,38048.26,82.61,10.46,4791.58
UK,2019,5005.17,22662.78,14.11,45.86,739.58
UK,2007,9420.11,35492.99,50.38027025031382,49.619729749686186,315.15
Brazil,2007,8929.5,16448.62,49.300254452926204,50.699745547073796,4233.15
Canada,2007,5806.95,42293.7,35.45,25.94,1841.83
China,2007,9345.55,26973.99,11.73,69.39,2312.99
Germany,2000,3298.58,47208.59,42.117840340527216,57.88215965947279,2583.38
China,2001,3719.86,4401.32,7.25,29.53,4134.58
Canada,2011,550.23,25956.7,47.61,24.5,426.2
China,2014,5933.09,38439.53,56.36,33.7,2778.07
USA,2003,7247.05,30207.56,67.26,14.42,2181.31
Japan,2024,7757.84,1648.11,55.64837905236908,44.35162094763092,1734.39
USA,2002,1583.18,48630.76,26.53680501174628,73.46319498825372,1773.25
Russia,2013,4497.17,15264.05,32.4,54.33,4655.19
China,2021,1850.95,12839.25,34.0,63.5,1377.16
Russia,2022,6655.06,24540.16,54.18178885393984,45.818211146060165,2300.36
India,2007,1663.67,27336.83,69.81179006715861,30.188209932841385,2489.37
Australia,2012,9051.22,38431.26,61.81894973954667,38.18105026045333,3613.33
India,2022,2383.28,19967.05,55.473267069447154,44.526732930552846,2618.98
Canada,2018,2984.88,22278.04,54.459164162797045,45.54083583720295,3125.1
UK,2021,8523.97,26980.52,85.06196377502383,14.938036224976168,2024.21
Japan,2004,4638.83,20022.16,36.96,42.38,3607.15
China,2012,337.56,45770.13,69.3647707016691,30.635229298330906,2355.97
Brazil,2019,4996.4,42636.97,52.66379505781001,47.33620494218998,1152.43
Australia,2000,936.98,23021.2,19.32,45.1,4093.8
Germany,2015,9854.91,509.65,8.86,34.48,3838.99
Germany,2022,5922.3,45096.26,23.23,59.44,3156.08
Germany,2023,2639.67,6654.66,62.26167570404058,37.738324295959416,2633.64
China,2001,5680.81,12603.36,58.69,27.96,1082.06
Germany,2006,860.98,8041.88,24.07,72.33,4348.35
USA,2005,8018.92,9400.87,68.06,17.91,531.1
Australia,2004,9260.75,40242.44,17.01,11.27,1946.76
USA,2003,8757.0,29185.32,74.86,20.07,4270.18
UK,2001,3483.4,47826.71,72.5,21.46,2998.06
Australia,2009,3325.1,11956.95,64.78238380255671,35.217616197443284,2221.17
USA,2021,447.37,24538.93,17.77,53.74,3967.24
Australia,2004,6548.86,48882.7,66.4668718613316,33.53312813866839,4948.09
UK,2017,5395.56,41408.95,33.99,24.29,984.63
Russia,2009,4647.53,36566.48,40.37,19.25,301.13
China,2022,9085.55,9854.27,44.82,44.45,2341.79
China,2021,1762.0,38585.57,54.03726708074535,45.962732919254655,1472.61
Germany,2014,195.7,17704.47,74.11238930729124,25.88761069270877,3350.42
India,2008,825.83,26761.58,56.0,25.43,2496.58
Germany,2010,2311.38,30653.48,83.77,15.64,2520.06
Canada,2020,429.53,30663.5,26.68,11.84,1807.16
USA,2024,5078.15,36462.91,38.86,17.4,1092.83
Australia,2024,3209.5,33254.25,43.59464627151051,56.40535372848948,1106.6
India,2016,1886.78,3884.36,32.45,34.08,1965.5
UK,2020,7525.83,23138.68,88.03,11.92,3425.09
Canada,2008,2124.07,33369.07,59.40311804008908,40.59688195991092,1718.89
UK,2022,6907.29,15151.65,45.7,47.52,1663.78
China,2015,3557.72,15996.31,63.24974740516212,36.75025259483788,2153.75
China,2005,5167.09,6666.09,44.73,17.75,4954.76
Germany,2021,9345.28,21221.44,6.46,62.85,501.62
USA,2010,469.78,49348.11,46.76903390914908,53.23096609085093,1508.53
India,2022,5052.62,14623.31,58.14,37.63,1495.41
Japan,2016,8558.79,26806.13,70.68607068607069,29.31392931392931,4873.78
Canada,2003,5920.95,37290.24,8.47,20.92,2065.53
Canada,2014,2841.02,1168.11,43.61071171818836,56.389288281811645,2856.51
Germany,2000,4037.04,45071.76,13.34,51.97,1030.75
China,2021,6834.63,19634.23,17.66,16.01,112.91
Germany,2019,8919.04,43521.24,56.89,36.46,1729.38
Australia,2000,506.56,2427.91,24.68,73.25,3213.21
India,2008,808.23,7710.35,62.2383325781604,37.7616674218396,3473.13
USA,2011,3318.01,16465.21,48.71,32.74,3781.69
Russia,2003,2404.52,17600.36,23.55,55.06,4310.29
Brazil,2021,2722.82,42465.81,46.97,24.21,622.33
Brazil,2012,2290.57,1054.46,5.07,46.67,459.82
Germany,2006,2038.67,32235.03,57.93639053254438,42.06360946745562,3949.04
Australia,2007,1393.18,6999.97,6.08,69.84,2206.97
India,2012,9346.15,41249.17,5.6,58.48,4738.23
Japan,2010,1527.48,39039.38,56.98,36.91,4720.25
Brazil,2008,2123.6,25246.09,57.92079207920792,42.07920792079208,751.18
India,2024,2538.03,11028.02,51.61311736590547,48.38688263409453,3471.56
USA,2023,9336.85,31907.52,26.42,43.44,382.18
UK,2015,7581.57,8234.79,21.72,10.32,2046.88
Australia,2009,7918.02,9906.18,44.82599322451494,55.17400677548506,4216.46
China,2010,1137.11,31521.15,74.92,21.58,2331.75
India,2011,8379.47,49565.81,35.78,18.84,216.39
USA,2013,4141.11,44607.51,41.75,31.54,1239.63
Japan,2018,2701.95,29858.81,14.82,36.6,477.53
Russia,2011,5799.93,27157.57,17.99,65.96,2070.76
China,2017,8239.61,49920.05,53.31,37.24,3498.66
Russia,2020,7808.66,27596.16,13.73,13.42,3318.77
Japan,2016,8910.98,21295.77,22.17,54.52,3608.75
USA,2002,9288.51,45523.0,24.95,56.99,1949.89
Brazil,2000,2457.41,12092.12,38.94103709104165,61.05896290895836,1363.13
Russia,2018,4296.19,5327.54,8.88,37.92,331.81
China,2003,244.82,31887.46,47.48,16.02,4710.8
Germany,2022,8805.28,5244.56,63.27930644553336,36.72069355446664,635.49
Canada,2015,1630.26,18970.85,7.08,18.47,932.31
India,2011,8628.6,21467.08,58.63,11.2,173.75
Brazil,2020,3360.93,27603.13,54.10885805763073,45.89114194236926,1619.98
Russia,2020,3744.52,49587.15,31.56,38.24,4103.29
UK,2012,487.41,11438.6,16.18,46.75,1694.62
India,2016,3336.1,19099.94,8.68,56.4,3346.61
Germany,2007,8894.8,7045.89,59.73,38.07,4829.45
Japan,2012,352.92,30576.87,51.94,13.58,4468.03
Canada,2019,4122.64,36519.82,24.49,27.69,940.86
USA,2004,410.86,24362.8,75.69,23.6,1828.08
Germany,2017,3772.14,12668.65,46.265588598054,53.734411401946005,3768.15
Germany,2014,1809.14,31233.97,28.5,61.77,4889.41
Japan,2011,2596.96,27188.31,62.39493899683688,37.60506100316313,3593.88
Australia,2016,8788.22,8973.69,25.82,14.44,1298.45
Japan,2024,4416.89,20581.25,62.4,18.11,707.47
Australia,2014,2810.6,22042.26,15.08,66.9,2501.04
Australia,2001,5934.45,49139.58,45.59348664476503,54.40651335523496,1005.11
Brazil,2005,1506.86,42539.65,25.3,12.19,1176.69
Brazil,2016,2667.98,36851.35,42.12261558992071,57.877384410079294,3190.44
China,2015,5507.85,44494.46,19.66,36.64,2598.43
Russia,2016,2451.48,36906.48,66.71,24.95,647.43
Russia,2024,6823.36,45218.39,10.17,17.16,810.71
USA,2019,4965.76,3200.38,19.06,64.02,146.2
Russia,2008,7742.69,23075.28,20.65,42.82,1137.32
Brazil,2004,9487.62,37471.47,8.51,68.27,4442.2
China,2022,1246.47,29373.14,68.33,25.83,3975.52
China,2000,3413.18,9170.73,60.58404167809158,39.41595832190842,2103.17
Australia,2005,3263.54,17354.36,71.16,18.27,3722.57
Japan,2023,1596.71,16229.83,78.15,16.28,2064.5
USA,2013,8122.0,13436.67,5.51,19.34,3970.91
Australia,2016,7622.8,17485.21,15.02,66.62,950.63
Japan,2024,4895.81,25985.24,48.445715339913285,51.5542846600867,804.96
Russia,2018,5423.93,42816.02,80.29888828139238,19.701111718607617,435.81
Australia,2000,689.49,37230.62,61.16,36.93,1246.94
India,2000,5599.52,41844.86,36.70456812288051,63.2954318771195,774.27
Russia,2012,7934.28,44238.39,17.42,30.0,4003.27
Japan,2013,5780.89,21099.45,17.99,74.49,1237.86
USA,2005,2726.53,17628.3,32.61720527992718,67.38279472007282,2605.23
Japan,2005,6708.73,3352.36,57.41890355862551,42.58109644137449,3793.18
Australia,2000,3678.74,46559.34,7.7,54.24,3401.52
Australia,2013,5494.25,3758.24,58.15123526319742,41.848764736802586,1062.72
Germany,2002,4926.9,37186.21,75.16796322489392,24.832036775106083,431.51
USA,2022,3873.63,19216.36,69.36789528074405,30.632104719255945,4563.22
UK,2009,7216.89,47464.65,80.88710467051796,19.112895329482036,3128.87
Russia,2018,8850.37,21270.3,6.3,74.74,3547.49
China,2018,151.6,40922.11,59.22166957924452,40.77833042075547,1960.77
USA,2018,9342.8,14491.41,36.14,13.24,1245.95
China,2022,5164.0,15304.89,61.94738908519827,38.052610914801726,2676.56
USA,2003,7037.25,29978.21,20.88,34.02,435.52
USA,2019,8570.68,49900.14,39.03835666242502,60.961643337574976,4009.88
Japan,2018,4724.33,26119.83,8.75,34.07,3289.8
USA,2009,8366.24,46847.28,8.41,55.09,3820.09
Germany,2024,1858.44,39419.37,79.77149278891179,20.22850721108822,2867.84
UK,2001,1675.76,39895.28,60.07641655149988,39.923583448500125,2910.65
Australia,2003,6608.97,22080.02,50.04,30.57,3021.86
Canada,2023,8714.42,19633.84,49.66,21.54,3931.59
China,2005,8935.02,10000.13,56.26690712353472,43.73309287646528,1165.66
Australia,2006,6473.03,48215.09,34.04,54.7,3423.58
Canada,2015,5302.34,47989.98,46.94797765663908,53.052022343360925,2785.89
UK,2006,3380.79,37479.85,44.85301251576598,55.146987484234025,2500.78
UK,2017,9802.0,15164.5,56.228636536270415,43.77136346372959,2727.49
China,2019,3264.99,12636.39,54.08042762135621,45.9195723786438,1397.39
China,2021,7467.44,49436.21,39.86199575371551,60.138004246284495,233.55
UK,2018,5366.62,3793.87,40.56,48.41,3807.86
Canada,2008,6124.27,42256.43,64.16497104398185,35.83502895601816,4585.06
USA,2019,3995.46,18095.17,51.833058480274005,48.166941519726,2429.77
Russia,2009,9651.75,21234.05,62.682379349046016,37.317620650953984,4197.61
India,2012,5759.66,41682.89,46.35891930577921,53.64108069422079,2798.52
Australia,2017,9384.1,4984.85,34.26,16.07,4655.0
Japan,2015,175.16,18031.4,25.43,60.28,2566.67
Australia,2021,5769.44,47625.2,7.9,28.53,1064.02
Japan,2016,7200.15,35103.76,66.77,18.09,4357.07
Canada,2021,7476.29,37869.49,24.85,69.48,4011.35
Japan,2012,9059.27,37996.51,49.20828258221681,50.7917174177832,2020.15
China,2011,143.58,3498.22,68.27239789196311,31.72760210803689,4217.46
Russia,2009,103.27,10558.78,68.0876399142653,31.912360085734704,94.8
Russia,2000,4775.41,24817.53,5.37,23.8,4008.75
China,2007,390.01,18723.44,31.95,10.67,3455.8
Germany,2020,9747.87,20840.16,68.85394070860448,31.14605929139551,1929.41
Canada,2021,2298.45,39181.65,50.6,20.39,3968.35
Germany,2017,4779.38,1226.62,65.07599858607281,34.92400141392718,676.98
Germany,2001,705.26,33194.35,53.13913639479095,46.86086360520905,1056.43
Australia,2015,5268.28,505.46,42.62,18.03,2691.22
UK,2011,3861.57,3621.4,35.51,16.42,4411.08
Australia,2008,542.13,20710.16,37.40373096012322,62.59626903987677,694.02
UK,2002,3417.73,42126.95,49.3192009783938,50.68079902160619,2843.13
India,2021,3975.22,7677.29,36.21,13.71,3778.0
Japan,2020,9900.22,27953.76,70.87,15.57,3729.6
UK,2003,2158.07,34086.01,58.54914866218344,41.450851337816566,3158.41
China,2001,5493.32,11861.88,29.0,35.92,4707.56
Australia,2007,9874.42,25860.35,58.91273441202356,41.08726558797645,2436.58
Canada,2009,7940.99,45614.66,57.93,38.31,4407.21
Japan,2015,9934.34,25855.31,50.600419340491776,49.39958065950823,3116.94
India,2022,9686.15,8287.49,13.83,58.61,3700.46
UK,2010,4946.44,31576.81,26.38,13.26,2350.92
India,2017,6994.12,29813.91,32.29,33.14,879.72
Canada,2021,1193.39,1834.26,30.74,49.45,590.02
Germany,2013,4467.37,4984.42,19.61,19.93,3427.54
Russia,2007,8109.28,8260.68,78.8,10.18,1913.56
Canada,2022,5102.82,7246.31,40.58,15.55,2859.04
Brazil,2014,7056.72,13343.56,65.03705921988471,34.9629407801153,3742.94
Canada,2016,7482.94,22978.21,50.15616388021312,49.843836119786886,3943.08
India,2020,2609.34,18899.96,16.76,16.5,2572.82
China,2017,8769.42,44587.17,47.6102260096332,52.389773990366805,1606.79
Australia,2005,4652.24,30799.42,62.705923589204346,37.29407641079565,3890.61
China,2022,2180.83,43869.15,41.17053481331988,58.82946518668012,2105.96
India,2013,8667.62,26588.45,5.16,68.85,4686.82
Australia,2022,4236.41,4948.59,52.58201322190346,47.41798677809654,4131.63
Brazil,2002,7528.09,23432.73,24.337231968810915,75.66276803118909,3747.24
Russia,2006,5525.53,41190.61,60.85456984096571,39.1454301590343,1244.16
Japan,2014,3880.53,10108.14,48.78,44.15,1845.67
India,2020,8117.78,5015.11,32.66,29.71,4252.45
UK,2023,5886.25,16807.02,29.02,45.59,164.54
India,2015,3966.56,19750.44,80.3330462245191,19.66695377548091,3918.27
India,2015,1185.02,15659.75,59.14271378395814,40.85728621604186,2050.55
Australia,2007,8964.91,7194.42,48.62,11.75,4006.78
USA,2006,451.15,12916.57,26.97,26.49,2784.34
Canada,2005,8645.55,34272.98,13.7,24.57,2657.69
USA,2001,3663.62,19603.46,18.31,75.65,3522.88
Brazil,2021,6429.45,31811.2,49.39,20.14,4041.35
UK,2012,9229.78,27047.04,30.110123647604333,69.88987635239567,3482.6
Russia,2011,1601.9,27678.12,8.58,18.71,2281.04
Germany,2014,5712.81,12803.2,43.69,55.55,1638.14
Brazil,2008,7667.89,26316.38,67.87343780995835,32.12656219004166,4235.87
Germany,2001,7600.08,1667.94,71.5525639890178,28.4474360109822,2627.85
Germany,2016,5303.76,21871.32,40.66701329569933,59.33298670430067,3928.13
Russia,2004,6284.92,28844.83,66.48,25.82,4978.8
China,2010,7599.52,9508.78,35.95,24.18,3237.24
USA,2021,8426.17,13199.65,47.18,51.25,1427.81
India,2018,7641.95,11366.79,52.00589741600061,47.99410258399938,4334.51
Japan,2023,3604.65,3992.62,45.904003296024165,54.09599670397584,1404.68
Germany,2006,9967.59,17718.94,41.0061888600519,58.99381113994809,1338.98
UK,2001,4401.58,48958.81,50.93495126317884,49.06504873682117,415.99
Brazil,2015,342.2,18017.08,68.37194073831546,31.628059261684538,438.89
China,2011,3689.91,23296.56,53.1980431237543,46.80195687624569,4318.49
Germany,2022,1365.05,32827.82,53.384670487106014,46.61532951289399,1192.11
China,2014,1302.28,32600.64,71.69,25.24,588.01
China,2000,2887.2,47519.8,14.79,56.98,1795.31
Germany,2024,628.42,42949.42,49.45,24.31,3582.04
Australia,2012,6916.27,39800.56,66.1444401987008,33.855559801299194,1731.17
Canada,2022,832.49,47605.55,35.74,28.19,1580.94
UK,2005,2112.57,11922.89,30.07,31.9,2465.93
India,2012,1019.71,31044.18,51.43485834785001,48.56514165215,154.94
India,2017,725.36,44416.24,23.8,14.51,2480.81
UK,2002,2750.74,31394.84,52.26,10.84,4950.59
Australia,2000,5761.8,48882.31,18.23,19.14,4006.78
India,2014,9650.39,5467.46,54.28,21.81,398.93
China,2012,8768.01,22246.86,56.2,23.85,3291.37
Russia,2004,8771.75,48879.46,38.72446056902807,61.27553943097194,2332.51
Brazil,2024,1843.06,19288.62,37.53,41.28,4139.93
USA,2012,2722.58,37108.04,25.86,42.9,537.7
India,2021,856.29,2004.94,33.13,55.1,1202.01
UK,2004,7806.84,34894.44,43.690036900369,56.30996309963099,3966.15
Russia,2018,791.18,46764.02,26.05,10.25,4253.54
Germany,2020,5611.29,19443.96,50.55473111440888,49.445268885591126,2670.11
Canada,2023,2553.97,1554.34,45.18205731690433,54.81794268309567,147.5
UK,2017,2510.11,1881.54,27.89,18.53,4473.89
China,2020,9908.18,44655.15,13.28,55.58,1944.69
Canada,2021,7592.12,36264.55,5.02,10.17,246.42
Brazil,2009,8385.7,5780.98,55.72,13.43,4103.12
Brazil,2023,5762.63,3202.22,22.97,29.95,2119.44
Australia,2007,8723.04,40338.86,6.07,69.25,990.45
Japan,2014,6490.36,40588.1,35.52,55.68,4017.81
Australia,2020,9467.12,6465.83,67.79965619628067,32.200343803719335,2315.69
Russia,2024,2885.25,15425.26,60.99664590321034,39.00335409678965,3058.66
Canada,2019,5993.66,39111.29,64.63950883597445,35.360491164025554,4124.45
Japan,2024,6932.3,26507.9,17.3,31.77,2635.99
Germany,2022,3990.08,47850.95,11.23,71.44,596.87
China,2021,8809.11,24312.6,5.98,49.75,4820.62
Canada,2003,9800.05,34009.42,66.27469064637614,33.72530935362386,1468.38
Australia,2001,4988.32,25734.28,30.52,42.56,4971.53
USA,2023,3967.34,47176.79,36.84870786986703,63.15129213013297,79.82
Japan,2005,4772.19,20233.63,38.53,60.66,2444.75
Japan,2002,8542.09,11874.92,67.09,20.14,3539.43
China,2006,6490.14,16668.38,31.35,40.59,4536.19
India,2009,543.25,42712.37,50.51,30.19,3912.67
Brazil,2022,5467.48,25147.96,53.12388855957322,46.87611144042679,1315.36
Brazil,2005,271.27,18035.49,42.75,39.08,1254.36
USA,2015,7807.5,27440.87,51.86,14.75,1815.1
Russia,2001,3350.29,7094.87,47.71,38.78,597.17
Russia,2023,4772.87,765.29,69.27950075642964,30.720499243570348,3364.39
Germany,2016,8006.91,14388.94,27.68,51.97,4709.23
Canada,2012,559.84,30447.78,19.49,25.83,3228.42
UK,2000,1669.56,35728.2,69.1,12.52,2690.2
India,2005,4039.81,41417.24,40.33,16.71,2541.58
Australia,2004,2376.26,46369.85,73.49097697573117,26.509023024268824,2983.43
UK,2024,3445.22,20899.56,59.75,34.38,3567.53
UK,2012,9981.93,37155.58,43.63980886472236,56.36019113527764,3985.25
Japan,2022,8271.6,4196.31,10.99,28.9,3506.69
USA,2017,8850.63,3347.73,67.09,12.2,3539.91
Brazil,2011,9376.84,6677.5,49.476398874648325,50.52360112535167,4761.08
Germany,2006,3475.27,22704.17,45.61928895031867,54.38071104968133,4501.75
Russia,2014,3041.06,10958.43,27.77,44.46,4128.42
USA,2002,2417.22,14702.78,74.05770730439303,25.94229269560697,264.63
Japan,2015,8318.16,32570.07,32.34,64.05,3360.89
Australia,2000,6827.56,18246.85,17.94,10.62,2302.15
Germany,2015,2438.1,28089.89,54.3492878537808,45.650712146219206,3107.12
Japan,2023,3832.24,20913.99,49.223133362106175,50.77686663789383,3447.1
Brazil,2011,5116.45,8863.98,40.26,48.14,3587.53
Brazil,2018,5328.59,4163.99,74.17968064572732,25.82031935427268,4353.66
Brazil,2007,8898.4,12193.46,12.74,12.3,4554.46
USA,2022,3867.6,3356.17,12.45,79.99,3053.8
USA,2011,9094.39,31121.29,49.86546375435264,50.13453624564736,4476.11
Russia,2014,4469.54,39888.02,20.13,33.71,3834.88
Russia,2001,7489.09,17317.17,82.96,11.35,1053.49
Australia,2016,9309.52,19662.0,58.263454794938255,41.73654520506175,224.79
Germany,2006,9085.0,40901.46,28.18743189248093,71.81256810751907,98.95
China,2012,663.83,11519.34,57.515173152445556,42.484826847554444,2953.78
China,2000,2136.47,6398.43,8.65,15.86,2631.89
Japan,2005,4821.36,25305.35,51.63,38.16,3497.02
Brazil,2012,4372.39,32486.41,82.73296789350039,17.26703210649961,4222.0
Germany,2010,6444.83,30182.89,51.273423066772224,48.72657693322776,863.99
UK,2009,9452.62,35836.72,35.27,33.13,4289.34
USA,2015,1212.81,3309.18,20.54,61.34,535.51
Canada,2023,4573.4,21695.98,22.9,15.93,4422.05
India,2022,2004.87,12309.24,48.73,18.99,4259.91
Australia,2019,8951.67,38076.5,49.19233824697678,50.80766175302321,3499.93
Brazil,2016,9649.34,43700.16,7.79,69.04,1535.14
Brazil,2016,4839.15,14426.12,40.15,24.1,512.4
Brazil,2003,1129.7,5213.29,65.8018457252307,34.19815427476929,3901.53
USA,2004,7874.42,13044.68,42.77,53.36,1128.5
USA,2022,7001.7,5648.42,19.38,65.74,2232.64
India,2013,3611.24,16459.9,61.48576321986726,38.514236780132734,2677.75
UK,2019,8885.33,27140.83,27.63,16.68,3442.94
Germany,2009,9760.74,48697.21,60.28791263340779,39.7120873665922,2462.82
Brazil,2013,5622.75,20268.83,21.47,71.92,3487.94
China,2000,5700.71,11391.98,36.66875503445807,63.331244965541934,4079.49
Russia,2010,3045.38,8756.69,46.69,50.95,3579.65
China,2022,5886.61,9065.47,37.36738703339882,62.63261296660117,1532.54
Japan,2017,4452.46,10033.59,48.9,17.36,4476.72
China,2015,3091.69,38232.22,24.12,43.5,2775.33
Japan,2017,765.13,3520.87,43.18804703386084,56.81195296613916,2353.61
Canada,2007,2601.81,49871.43,45.95,19.87,2896.48
Russia,2009,2058.76,26372.98,22.55281166319548,77.44718833680452,2441.94
China,2009,5466.22,27441.46,71.90176118920665,28.09823881079334,3787.79
Canada,2004,6056.53,18199.41,69.48178280863105,30.51821719136894,2132.29
Australia,2009,6124.86,34667.64,76.34776006074412,23.652239939255885,3894.78
Germany,2017,3942.99,23837.09,63.27,30.16,3812.77
Canada,2020,4270.17,16788.53,18.59,50.43,1420.51
Germany,2023,8358.96,13624.35,53.29,40.05,524.91
China,2005,4814.7,46319.73,74.82,23.54,4262.24
UK,2002,9878.96,14903.98,8.29,66.64,886.15
Canada,2007,4452.21,22101.47,47.15,14.36,204.35
Russia,2008,6530.85,17841.9,36.106442577030805,63.8935574229692,2041.52
China,2004,598.59,4765.85,23.03,29.25,1308.04
Brazil,2001,6568.07,9703.75,37.15,44.71,1140.79
USA,2001,8529.12,9880.35,70.72722918496048,29.27277081503952,902.95
Canada,2006,9430.33,34835.65,57.103590448376565,42.89640955162344,3758.52
Russia,2016,9973.47,20625.98,30.46,65.72,3927.94
Australia,2009,2893.57,39207.39,41.60341905533858,58.3965809446614,279.63
Brazil,2011,5796.16,35593.07,25.97,31.42,2756.72
Australia,2001,4562.11,10006.46,53.85561547923171,46.14438452076829,718.97
China,2009,5681.79,28364.39,65.5707246142661,34.4292753857339,2522.79
USA,2019,1658.78,37273.99,39.56899810964083,60.43100189035917,1772.25
Canada,2000,8575.88,31835.62,50.26502426278462,49.734975737215386,1048.99
Canada,2003,9104.73,30200.82,43.53,37.8,4742.9
UK,2012,4551.65,37110.74,49.55,43.38,4785.89
UK,2011,2876.26,3310.65,64.08,27.22,2841.65
China,2010,1494.25,36705.39,54.08267601519135,45.91732398480865,980.85
China,2009,6869.27,13996.44,46.885799861761775,53.11420013823823,2937.17
USA,2014,3191.1,28807.68,53.181598647669645,46.81840135233036,4646.07
UK,2004,9104.43,12494.1,60.085284415479926,39.91471558452008,1919.92
Russia,2024,6743.02,42021.47,55.51128818061088,44.48871181938911,731.8
Russia,2016,6492.28,24287.69,65.0825921219822,34.917407878017784,3483.77
USA,2004,5638.08,32325.59,28.9,52.64,3298.53
Russia,2001,553.19,39807.06,41.72,34.41,56.87
Japan,2008,9326.03,44818.11,46.22229977316349,53.7777002268365,4275.35
Germany,2005,6316.58,36737.07,44.3,11.59,3320.7
USA,2017,9941.21,7864.04,77.03,11.99,1018.71
USA,2013,5419.83,42799.35,7.3,60.13,66.03
India,2018,7130.1,31119.61,22.78,75.15,4862.89
Brazil,2013,656.47,30667.76,59.570821846360175,40.42917815363982,3785.66
Brazil,2007,6354.19,46106.36,10.02,60.86,1857.0
Japan,2016,7670.03,12817.16,24.29,67.68,2192.3
